Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
81	51_TEMPEST_SW_E3_20241003_15cm	Unknown	3.32	774.5142	65.43	17.8034	157.6
82	51_TEMPEST_SW_E3_20241003_15cm_SPK	Spiked	3.32	750.1397	61.32	17.2431	152.6
83	Standard 5	Check Standard	3.297	200.7092	92.73	230.6801	1932.88
84	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
85	52_TEMPEST_FW_B4_20241003_15cm	Unknown	3.33	16.4066	3.72	0.3771	3.47
86	53_TEMPEST_FW_D5_20241003_15cm	Unknown	3.33	6.6141	1.51	0.152	1.43
87	54_TEMPEST_SW_F6_20241111_15cm	Unknown	3.317	1190.1863	73.03	27.3582	240.12
88	55_TEMPEST_C_F4_20241213_15cm	Unknown	3.317	2.5898	0.7	0.0595	0.58
89	56_TEMPEST_C_E3_20241213_15cm	Unknown	3.327	3.8053	0.81	0.0875	0.85
90	57_TEMPEST_C_I5_20241213_15cm	Unknown	3.33	6.9838	1.61	0.1605	1.5
91	58_TEMPEST_C_D5_20241213_15cm	Unknown	3.31	2.1748	0.57	0.05	0.47
92	59_TEMPEST_C_H3_20241213_15cm	Unknown	3.303	1.3009	0.35	0.0299	0.25
93	60_TEMPEST_C_B4_20241213_15cm	Unknown	3.327	13.7413	3.08	0.3159	2.9
94	60_TEMPEST_C_B4_20241213_15cm_DUP	Unknown	3.33	13.7316	3.05	0.3156	2.9
95	61_TEMPEST_C_C6_20241213_15cm	Unknown	3.33	6.4891	1.49	0.1492	1.4
96	61_TEMPEST_C_C6_20241213_15cm_SPK	Spiked	3.327	7.4229	1.5	0.1706	1.59
97	Standard 1	Check Standard	3.323	4.634	93.5	5.3259	47.05
98	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
99	62_TEMPEST_C_C3_20241213_15cm	Unknown	3.33	4.2425	0.87	0.0975	0.94
100	63_TEMPEST_C_F6_20241213_15cm	Unknown	3.31	1.6705	0.45	0.0384	0.36
101	64_TEMPEST_C_H6_20241213_15cm	Unknown	3.33	4.2429	0.98	0.0975	0.93
102	65_TEMPEST_FW_F4_20241213_15cm	Unknown	3.317	2.4832	0.67	0.0571	0.61
103	66_TEMPEST_FW_H6_20241213_15cm	Unknown	3.317	3.0353	0.83	0.0698	0.68
104	67_TEMPEST_FW_E3_20241213_15cm	Unknown	3.327	9.0908	2.14	0.209	1.93
105	68_TEMPEST_FW_B4_20241213_15cm	Unknown	3.33	10.6641	2.41	0.2451	2.26
106	69_TEMPEST_FW_F6_20241213_15cm	Unknown	3.313	2.5459	0.68	0.0585	0.56
107	70_TEMPEST_SW_H6_20241213_15cm	Unknown	3.323	99.5507	21.75	2.2883	20.61
108	70_TEMPEST_SW_H6_20241213_15cm_DUP	Unknown	3.327	96.9923	21.56	2.2295	20.15
109	71_TEMPEST_SW_E3_20241213_15cm	Unknown	3.323	460.7384	51.46	9.3147	82.81
110	71_TEMPEST_SW_E3_20241213_15cm_SPK	Spiked	3.323	483.3367	48.04	9.7715	87.02
111	Standard 2	Check Standard	3.32	9.6643	93.11	11.1074	97.94
112	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
113	72_TEMPEST_SW_F4_20241213_15cm	Unknown	3.32	781.9851	65.26	17.9751	158.58
114	73_TEMPEST_SW_F4_20241213_15cm	Unknown	3.323	530.9105	56.23	12.2038	108.56
115	74_TEMPEST_SW_C3_20241213_15cm	Unknown	3.32	875.9982	68.5	20.1361	177.6
116	75_TEMPEST_SW_H3_20241213_15cm	Unknown	3.323	345.7927	47.82	7.9486	71.17
117	76_TEMPEST_SW_B4_20241213_15cm	Unknown	3.32	835.7243	66.69	19.2104	170.09
118	77_TEMPEST_SW_C6_20241213_15cm	Unknown	3.323	268.5275	41.49	6.1725	55.45
119	78_TEMPEST_SW_I5_20241213_15cm	Unknown	3.313	1380.4004	72.58	31.7306	277.66
120	79_TEMPEST_SW_D5_20241213_15cm	Unknown	3.327	340.3978	46.25	7.8246	70.12
121	80_TEMPEST_FW_I5_20241213_15cm	Unknown	3.33	10.3647	2.31	0.2382	2.2
122	80_TEMPEST_FW_I5_20241213_15cm_DUP	Unknown	3.327	10.419	2.3	0.2395	2.22
123	81_TEMPEST_FW_D5_20241213_15cm	Unknown	3.327	5.7085	1.34	0.1312	1.24
124	81_TEMPEST_FW_D5_20241213_15cm_SPK	Spiked	3.33	6.7476	1.37	0.1551	1.45
125	Standard 2	Check Standard	3.32	9.5532	93.07	10.9797	96.61
126	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
127	82_TEMPEST_FW_C6_20241213_15cm	Unknown	3.33	5.1301	1.13	0.1179	1.12
128	83_TEMPEST_FW_C3_20241213_15cm	Unknown	3.317	2.8251	0.78	0.0649	0.63
129	84_TEMPEST_FW_H3_20241213_15cm	Unknown	3.327	8.7409	2.3	0.2009	1.86
130	85_TEMPEST_C_RAINWATER_202412	Unknown	3.327	0.0405	0.01	0.0009	0.02
131	86_TEMPEST_FW_RAINWATER_202412	Unknown	3.327	0.0865	0.02	0.002	0.03
132	86_TEMPEST_FW_RAINWATER_202412_DUP	Unknown	3.327	0.0852	0.02	0.002	0.03
133	87_TEMPEST_SW_RAINWATER_202412	Unknown	3.33	0.2715	0.07	0.0062	0.09
134	87_TEMPEST_SW_RAINWATER_202412_SPK	Spiked	3.33	0.952	0.22	0.0219	0.25
135	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
136	Standard 1	Check Standard	3.323	4.6026	93.53	5.2899	46.93
137	Standard 2	Check Standard	3.32	9.4802	93.03	10.8959	96.05
138	Standard 3	Check Standard	3.317	19.4243	92.87	22.3249	194.84
139	Standard 4	Check Standard	3.3	100.3603	92.77	115.3466	979.75
140	Standard 5	Check Standard	3.297	201.783	92.74	231.9143	1933.65
141	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
142	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
Maximum			3.33	2940.301	93.76	231.9143	1933.65
Average			3.32	494.9099	41.66	21.5999	185.69
Minimum			3.297	0.0405	0.01	0.0009	0.02
Standard Deviation			0.009	752.9809	38.44	41.3147	347.99
Relative Standard Deviation			0.26%	152.15%	92.27%	191.27%	187.40%
