Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
84	122_TEMPEST_EST_SourceWater_20240613_HighTide	Unknown	3.310 	3859.6824 	80.77 	44.2998 	381.95 
85	123_TEMPEST_EST_SourceWater_20240612_HighTide	Unknown	3.310 	3784.5568 	81.44 	43.4375 	374.80 
86	124_TEMPEST_EST_SourceWater_20240611_LowTide	Unknown	3.313 	3269.2374 	80.13 	37.5229 	324.89 
87	125_TEMPEST_EST_SourceWater_20240611_HighTide	Unknown	3.310 	3491.7519 	80.50 	40.0769 	346.53 
88	126_TEMPEST_EST_SourceWater_20240613_LowTide	Unknown	3.310 	3860.8575 	81.37 	44.3133 	382.62 
89	127_TEMPEST_EST_SourceWater_20240612_LowTide	Unknown	3.310 	3463.6409 	80.46 	39.7542 	343.55 
90	128_TEMPEST_SW_SourceWater_20240611_Midday	Unknown	3.310 	3667.6635 	81.22 	42.0959 	363.55 
91	129_TEMPEST_SW_SourceWater_20240612_Midday	Unknown	3.310 	3280.0670 	80.19 	37.6472 	325.75 
92	130_TEMPEST_SW_SourceWater_20240613_Morning	Unknown	3.310 	3535.5176 	80.46 	40.5792 	351.18 
93	130_TEMPEST_SW_SourceWater_20240613_Morning_DUP	Unknown	3.310 	3344.4284 	80.30 	38.3859 	332.09 
94	131_TEMPEST_SW_SourceWater_20240611_Afternoon	Unknown	3.313 	3194.8201 	78.72 	36.6688 	317.10 
95	131_TEMPEST_SW_SourceWater_20240611_Afternoon_SPK	Spiked	3.310 	3139.1629 	75.67 	36.0300 	312.47 
96	Standard 1	Check Standard	3.323 	4.8471 	93.88 	5.5633 	49.70 
97	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
98	132_TEMPEST_SW_SourceWater_20240612_Morning	Unknown	3.310 	3400.7436 	81.08 	39.0323 	337.93 
99	133_TEMPEST_SW_SourceWater_20240613_Midday	Unknown	3.310 	3426.8123 	81.14 	39.3315 	340.36 
100	134_TEMPEST_SW_SourceWater_20240613_Afternoon	Unknown	3.310 	3466.6049 	81.03 	39.7882 	344.18 
101	135_TEMPEST_SW_SourceWater_20240611_Morning	Unknown	3.310 	3421.0234 	80.40 	39.2651 	339.44 
102	136_TEMPEST_SW_SourceWater_20240612_Afternoon	Unknown	3.313 	3368.9869 	80.21 	38.6678 	334.96 
103	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
104	Standard 1	Check Standard	3.327 	4.7878 	93.85 	5.4952 	49.05 
105	Standard 2	Check Standard	3.320 	9.8129 	93.28 	11.2629 	99.63 
106	Standard 3	Check Standard	3.317 	19.7677 	93.02 	22.6886 	197.95 
107	Standard 4	Check Standard	3.297 	100.7796 	92.77 	115.6706 	982.56 
108	Standard 5	Check Standard	3.297 	200.8634 	92.73 	230.5425 	1920.08 
109	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
110	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
Maximum			3.333 	3860.8575 	94.45 	230.5425 	1921.01 
Average			3.318 	1181.8703 	48.41 	32.1171 	274.74 
Minimum			3.293 	2.2908 	0.61 	0.0526 	0.51 
Standard Deviation			0.011 	1520.3032 	42.02 	46.9270 	395.07 
Relative Standard Deviation			0.32%	128.64%	86.80%	146.11%	143.80%
